name,code,cooperative,district,sub_county,parish,village,contact_person,phone_number,is_vsla,created_at
Ribe ber,42,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pakor,Pakor central,,0765486614,,09-04-2023
Obanga Ber,43,Omot Farmers Cooperative Society ltd,Agago,Omot,Agelec,Arum,,0779940967,,10-04-2023
Lacan Yelle Farmer Group,44,,Lamwo,Palabek Nyimur,Paracelle,Mudu east,,0781103878,,11-04-2023
Abuka women's group,45,,Lamwo,Palabek-Gem,Gem-Central Ward,Abuka,,0784942468,,11-04-2023
Adaa lonyo,46,,Lamwo,Palabek-Gem,Moroto,KAMAMA central,,0779939949,,11-04-2023
Can pe rom vsla,47,,Lamwo,Palabek-Gem,Patanga,Obokeolot,,0785350700,,11-04-2023
Orom West United VSLA,48,,Lamwo,Palabek-Kal,Lamwo,Agora,,0785293307,,11-04-2023
Cing nono pe nange,49,,Lamwo,Palabek-Gem,Gem,Medde south,,0786506172,,11-04-2023
Anaka central women,50,,Lamwo,Palabek-Gem,Anaka,Anaka central,,0784942468,,11-04-2023
Waywee ki kuc VSLA,51,,Agago,Kuywee,Lamit,Lamit West,,0774199561,,12-04-2023
Gum perom VSLA,52,,Agago,Kuywee,Lamit,Lamit Central,,0787686698,,12-04-2023
Gum perom VSLA,53,,Agago,Kuywee,Lamit,Lamit Central,,0787686698,,12-04-2023
Mak tic,54,,Agago,Kuywee,Lamit,Lamit Central,,0775522817,,12-04-2023
Kica Ber,55,,Agago,Kuywee,Lamit,Masai l.c 1,,0779941160,,12-04-2023
Waywee Ki Kuc,56,,Agago,Kuywee,Lamit,Mutu l.c1,,0774199561,,12-04-2023
Dok Gang Ber,57,,Agago,Kuywee,Lamit,Kago,,0785907748,,12-04-2023
Apwoyo Ribe,58,,Agago,Kuywee,Lamit,Okujos,,0784656017,,12-04-2023
Note Aye  teko,59,,Agago,Kuywee,Kal-Agum,Toroma central,,0784512373,,12-04-2023
Peko Lit VSLA,60,,Agago,Kuywee,Kal-Agum,Toroma South,,0771946901,,12-04-2023
Oyub paco,61,,Agago,Kuywee,Kal,Toroma central,,0787075001,,12-04-2023
Moria church of uganda,62,,Agago,Kuywee,Kal Ward,Toroma central,,0780726456,,12-04-2023
Wakonye kenwa,63,,Agago,Kuywee,Kal-Agum,Toroma central,,0780589605,,12-04-2023
Ribbe Aye teko,64,,Agago,Kuywee,Kal-Agum,Toroma central,,0760274980,,12-04-2023
Onen Ayim,65,,Agago,Kuywee,Kal-Agum,Toroma central,,0773770389,,12-04-2023
Wanena vsla,66,,Agago,Kuywee,Atut,Kalaki,,0786413760,,12-04-2023
Winyeber VSLA,67,,Agago,Kuywee,Atut,Amida,,0778984125,,12-04-2023
Adaari vsla group,68,,Agago,Kuywee,Atut,Lugila,,0770659223,,12-04-2023
Ateki Lwak vsla group,69,,Agago,Kuywee,Atut,Ora okelo,,0782458730,,12-04-2023
Rubanga Pe Wany Farmers Group,70,,Agago,Kuywee,Atut,Masaka,,0761289629,,12-04-2023
Lim Welo vsla group,71,,Agago,Kuywee,Atut,Kalaki,,0779421483,,12-04-2023
Muloyo Too vsla group,72,,Agago,Kuywee,Atut,Kalaki North,,0761438626,,12-04-2023
Ribbe Ber,73,,Agago,Kuywee,Atut,Ora okelo,,0761400363,,12-04-2023
Akem Kwene,74,Parabong Oil Seed Co-op Ent,Agago,Parabongo,Pakor,Te layugi,,0779247671,,13-04-2023
Ada Rii Saving Group,75,,Agago,Parabongo,Pakor,Kadokta,,07830772198,,14-04-2023
Pader community youth group,76,Pader Shea butter cooperative,Pader,Pader Town Council,Luna Ward,Amor,,0783809212,,15-04-2023
Lacan Tute Community Group,77,Pader Shea butter cooperative,Pader,Pader Town Council,Luna Ward,Amor,,0779919205,,15-04-2023
Wamar Lobowa,78,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Rackoko,Gwen Iwala,,0772643691,,16-04-2023
Can Dek Ming,79,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Opok Rom,Laliya Laroo,,0775126432,,16-04-2023
Nyom Kelo Lonyo,80,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Rackoko,Tiktik,,0760127114,,16-04-2023
Ojalo Kome,81,Awere Farmer Cooperative Ltd,Pader,Lunyiri,Rackoko,Tiktik,,0782002625,,16-04-2023
Kacel-Watwero Vsla Group,82,,Pader,Pader Town Council,Luna Ward,Amor,,0771204846,,16-04-2023
Better Network vsla,83,,Agago,Kuywee,Paluti,Kuywee East,,0774208869,,16-04-2023
COO PE LWOR,84,,Lamwo,Palabek Nyimur,Paracelle,Otaa,,0782149414,,16-04-2023
Dyere ber Farmer group,85,,Lamwo,Palabek Nyimur,Padwat,Padwat East,,0770553038,,16-04-2023
Miwa united,86,,Lamwo,Palabek Nyimur,Padwat,Padwat East,,0761704680,,16-04-2023
Kica BER women group,87,,Lamwo,Palabek Nyimur,Paracelle,Mudu East,,0761704680,,16-04-2023
Waribu cing,88,,Lamwo,Palabek Nyimur,Paracelle,Otaa,,0761024387,,16-04-2023
Tute pi anyim,89,,Lamwo,Palabek Nyimur,Paracelle,Mudu East,,0761323858,,16-04-2023
Gum pe rom,90,,Lamwo,Palabek Nyimur,Paracelle,Mudu East,,0787631104,,16-04-2023
Tim kica,91,,Lamwo,Palabek Nyimur,Paracelle,Otaa,,0770658652,,16-04-2023
Lacan kwite,92,,Lamwo,Palabek Nyimur,Padwat,Padwet  East,,0773471983,,16-04-2023
Nyeri Ingol 2,93,,Agago,Omot,Awonodwe,Okol,,0781095906,,17-04-2023
Moo Yao farmer group,94,,Agago,Omot,Awonodwe,Alworo,,077-125-8760,,17-04-2023
RIBBE BER FARMER GROUP,95,,Lamwo,Palabek-Kal,Lamwo,Orom East,,0782615455,,18-04-2023
Orom. Central united,96,,Lamwo,Palabek-Kal,Lamwo,Orom central,,077405518,,19-04-2023
Pit odong ki mon,97,,Lamwo,Palabek-Kal,Lamwo,Orom west,,0781901584,,19-04-2023
Orom. Central united,98,,Lamwo,Palabek-Kal,Lamwo,Orom central,,077405518,,19-04-2023
GOBA RAC,99,,Lamwo,Palabek-Kal,Lamwo,Agora,,0777483996,,19-04-2023
Lubanga ma miyo VSLA,100,,Lamwo,Palabek-Kal,Lamwo,Orom west,,0787625259,,19-04-2023
RIBE AYE TEKO,101,,Lamwo,Palabek-Kal,Lamwo,Orom east,,077787500,,19-04-2023
CAN DIYA VSLA,102,,Lamwo,Palabek-Kal,Lamwo,Orom west,,0778833129,,19-04-2023
KACEL WACUNG,103,,Lamwo,Palabek-Kal,Lamwo,Agora,,0783067216,,19-04-2023
LACN DIRE,104,,Lamwo,Palabek-Kal,Lamwo,Orom east,,0779939174,,19-04-2023
LAMWO AGORA VSLA,105,,Lamwo,Palabek-Kal,Lamwo,Agora,,0774849397,,19-04-2023
Orom west united,106,,Lamwo,Palabek-Kal,Goma Kal,Orom central,,0782615455,,19-04-2023
AOL kican women group,107,Pader Shea butter cooperative,Pader,Pader Town Council,Akuna,Amor,,0761043293,,21-04-2023
LOWII WOMAN,108,,Lamwo,Palabek-Kal,Pandwong Ward,Pandwang,,0773862259,,22-04-2023
GEN CINGI FARMER GROUP,109,,Lamwo,Palabek-Kal,Bwomono Ward,Pandwang,,0771953834,,22-04-2023
GEN CINGI FARMER GROUP,110,,Lamwo,Palabek-Kal,Bwomono Ward,Pandwang,,0771953834,,22-04-2023
ATEK KI RWOT FARMER GROUP,111,,Lamwo,Palabek Kal Town Council,Bwomono Ward,Pamwa,,077658320,,22-04-2023
ATEK KI RWOT FARMER GROUP,112,,Lamwo,Palabek Kal Town Council,Bwomono Ward,Pamwa,,077658320,,22-04-2023
ATEK KI RWOT FARMER GROUP,113,,Lamwo,Palabek Kal Town Council,Bwomono Ward,Pamwa,,077658320,,22-04-2023
ATEK KI RWOT FARMER GROUP,114,,Lamwo,Palabek Kal Town Council,Bwomono Ward,Pamwa,,077658320,,22-04-2023
KICA  BER WOMEN GROUP,115,,Lamwo,Palabek Kal Town Council,Bwomono Ward,Pamwa,,AKENA RONALD,,22-04-2023
MON BER WOMEN,116,,Lamwo,Palabek Kal Town Council,Bediworo Ward,Pamua,,0772154484,,22-04-2023
KACEL WATWERO GROUP,117,,Lamwo,Palabek Kal Town Council,Bwomono Ward,GRUGURU,,OKETA YOT,,22-04-2023
RIBE BER YOUTH GROUPS,118,,Lamwo,Palabek Kal Town Council,Bwomono Ward,GRUGURU,,***,,22-04-2023
TEM GUMI GROUP,119,,Lamwo,Lamwo Town Council,Bwomono Ward,LUGOLE,,***,,22-04-2023
TEM GUMI GROUP,120,,Lamwo,Lamwo Town Council,Bwomono Ward,LUGOLE,,***,,22-04-2023
CAM KI WODU FARMER,121,,Lamwo,Palabek Kal Town Council,Bwomono Ward,LUGOLE,,0775523887,,22-04-2023
GEN CINGI FARMER GROUP,122,,Lamwo,Palabek Kal Town Council,Bwomono Ward,LUGOLE,,0774847418,,22-04-2023
GEN CINGI FARMER GROUP,123,,Lamwo,Palabek Kal Town Council,Bwomono Ward,LUGOLE,,0774847418,,22-04-2023
GEM RAC,124,,Lamwo,Palabek-Kal,Lamwo,OROM  EAST,,AROB  ROBERT,,22-04-2023
GEN CINGI FARMER GROUP,125,,Lamwo,Palabek Kal Town Council,Bwomono Ward,LUGOLE,,0774847418,,22-04-2023
CAM KI WODU FARMER,126,,Lamwo,Palabek Kal Town Council,Bwomono Ward,LUGOLE,,0775523887,,22-04-2023
CAM KI WODU FARMER,127,,Lamwo,Palabek Kal Town Council,Bwomono Ward,LUGOLE,,0775523887,,22-04-2023
TEM GUMI GROUP,128,,Lamwo,Lamwo Town Council,Bwomono Ward,LUGOLE,,***,,22-04-2023
TEM GUMI GROUP,129,,Lamwo,Lamwo Town Council,Bwomono Ward,LUGOLE,,***,,22-04-2023
RIBE BER YOUTH GROUPS,130,,Lamwo,Palabek Kal Town Council,Bwomono Ward,GRUGURU,,***,,22-04-2023
Adeg kere,131,,Agago,Kuywee,Lamit,Kiteli,,0774037086,,23-04-2023
Atimbki cinga,132,,Agago,Kuywee,Lamit,Lamit west,,0777742041,,23-04-2023
Runanga aye kwo,133,,Agago,Kuywee,Lamit,,,0770848556,,23-04-2023
Buluzi Farmer Group,134,,Kitgum,Lagoro,Buluzi,Buluzi,,0777523880,,10-05-2023
Pwur Ber,135,,Kitgum,Lalano,Lakwa,Danya,,0783580366,,10-05-2023
Bomodyel vsla group,136,,Lamwo,Paloga,Paloga,Ogwangere,,0778975263,,12-05-2023
Luna shea butter vsla,137,Pader Shea butter cooperative,Pader,Padibe Town Council,Luna Ward,Amor,,0773321792,,13-05-2023
Rubanga Aye Miyo VSLA,138,,Pader,Pader,Kilak,Kilak Central B,,0778465417,,15-05-2023
Can pe yero Luo Community SFG,139,,Pader,Pader,Kilak,akemokoch,,0788667743,,15-05-2023
lucan tute Kilak Central B FG,140,Pader Shea butter cooperative,Pader,Pader,Kilak,Kilak Central B,,0777457310,,15-05-2023
Ber Bedo Elderly group,141,Pader Shea butter cooperative,Pader,Pader,Kilak,Oraluka,,0789809485,,15-05-2023
Tiki Komi,142,Pader Shea butter cooperative,Pader,Pader,Kilak,Kilak Central B,,0779943894,,15-05-2023
Lacan Bil,143,Pader Shea butter cooperative,Pader,Pader,Kilak,Oraluka,,0782676740,,15-05-2023
Oryemcan ki kweri vsla group,144,Pader Shea butter cooperative,Pader,Pader,Kilak,Tyer,,0778191533,,15-05-2023
Lucan Pe kun Elderly group,145,Pader Shea butter cooperative,Pader,Pader,Kilak,Kalangore North,,0762759838,,15-05-2023
Okany Can Elderly group,146,Pader Shea butter cooperative,Pader,Pader,Kilak,Kalangore South,,0778244527,,15-05-2023
kanyakanya farmers Group,147,Latanya Nen Anyim SBPG,Pader,Latanya,Golo,Ongenyo,,0787078303,,16-05-2023
Acung Pi Lobo na,148,Latanya Nen Anyim SBPG,Pader,Latanya,Golo,Ongenyo,,0781676306,,16-05-2023
Kulu pong ki ora vsla group,149,Pader Shea butter cooperative,Pader,Ajan,Pakeyo,Pajere,,0773437529,,16-05-2023
Acholi mede VSLA,150,Pader Shea butter cooperative,Pader,Ajan,Pakeyo,Toobii,,0783924421,,16-05-2023
Kica ber Farmers Group,151,Agago District Farmers Association,Agago,Kuywee,Paluti,Apil West,,0774567513,,18-05-2023
Ngom Pe Wang Farmers Group,152,Agago District Farmers Association,Agago,Kuywee,Pacabol,Kuywee South,,0785541887,,18-05-2023
Rubanga Kong Kudem Farmers group,153,Agago District Farmers Association,Agago,Kuywee,Paluti,Kudem,,0774123102,,18-05-2023
Note Aye Teko Farmers Group,154,Agago District Farmers Association,Agago,Kuywee,Kal-Agum,Toroma Central,,0783406315,,18-05-2023
Gum anywala Farmers Group,155,Agago District Farmers Association,Agago,Kuywee,Kal-Agum,Moria,,0772862647,,18-05-2023
Can Lit Women's group,156,Agago District Farmers Association,Agago,Kuywee,Kal-Agum,Ojako,,0770639784,,18-05-2023
Akwo Ki Pur VSLA,157,Agago District Farmers Association,Agago,Kuywee,Kal-Agum,Toroma Central,,0788018655,,18-05-2023
Waneno Anyim Youth Group - Toroma,158,Agago District Farmers Association,Agago,Kuywee,Kal-Agum,Toroma Central,,0773189720,,18-05-2023
Cat Ber Awaro VSLA,159,Agago District Farmers Association,Agago,Kuywee,Kal-Agum,Ojako,,0789415988,,18-05-2023
Future Hope VSLA,160,Agago District Farmers Association,Agago,Kuywee,Bombo,Bombo Central,,0770497780,,18-05-2023
Lweny Balo Lobo VSLA,161,Agago District Farmers Association,Agago,Kuywee,Bombo,Bombo Central,,0774074459,,18-05-2023
Laimaro VSLA group,162,Pader Shea butter cooperative,Pader,Pukor,Coo-Rom,Coo-Rom West,,0777755885,,19-05-2023
Nen Anyim VSLA group,163,Pader Shea butter cooperative,Pader,Pukor,Kal Angore,Coo-Rom West,,0778454016,,19-05-2023
Coo-Rom East Farmer Group,164,Pader Shea butter cooperative,Pader,Pukor,Kal Angore,Coo-Rom East,,0760444986,,19-05-2023
Pur Lonyo VSLA Group,165,Pader Shea butter cooperative,Pader,Pukor,Kal Angore,Coo-Rom West,,0783355374,,19-05-2023
Kweri Lwonyo,166,Pader Shea butter cooperative,Pader,Pukor,Kal Angore,Coo-Rom East,,0772074161,,19-05-2023
Lonyo Tye ingom VSLA Group,167,Pader Shea butter cooperative,Pader,Pukor,Kal Angore,Coo-Rom West,,0786513375,,19-05-2023
Coo-Rom Central Cotton Farmers Group,168,Pader Shea butter cooperative,Pader,Pukor,Kal Angore,Coo-Rom East,,0782773948,,19-05-2023
Omare Wunu VSLA group,169,Agago District Farmers Association,Agago,Kuywee,Bombo,Bombo Central,,0781038054,,19-05-2023
Yub Pacu VSLA group,170,Agago District Farmers Association,Agago,Kuywee,Kal-Agum,Toroma South,,0787075001,,22-05-2023
Lobo rac VSLA group,171,Agago District Farmers Association,Agago,Kuywee,Kal-Agum,Apil,,0780210501,,24-05-2023
Atek Ki Lwak VSLA,172,Adaa Cung Produce Dealers,Kitgum,Lagoro,Buluzi,Lamogi,,0770771974,,24-05-2023
Ribbe ber VSLA,173,Adaa Cung Produce Dealers,Kitgum,Lagoro,Buluzi,Lamogi,,0784180840,,24-05-2023
Lacan Pe Nino Women's group,174,Adaa Cung Produce Dealers,Kitgum,Lagoro,Buluzi,Lamogi,,0783348699,,24-05-2023
Bed Ki Gen VSLA group,175,Adaa Cung Produce Dealers,Kitgum,Lagoro,Laber,Akecha,,0777476908,,24-05-2023
Ribbe Aye Teko VSLA group,176,Adaa Cung Produce Dealers,Kitgum,Lagoro,Laber,Akuna Central,,0771837932,,24-05-2023
Lacan Pe Lony VSLA Group,177,Adaa Cung Produce Dealers,Kitgum,Lagoro,Laber,Akecha Central,,0785419898,,24-05-2023
Ribbe Ber Big Deal VSLA Group,178,Adaa Cung Produce Dealers,Kitgum,Lagoro,Laber,Akecha,,0763279799,,24-05-2023
Rubanga Twero Womens Group,179,Adaa Cung Produce Dealers,Kitgum,Lagoro,Pawidi,Lagam pii,,0762744067,,24-05-2023
Lapit pe kun,180,Adaa Cung Produce Dealers,Kitgum,Lagoro,Pawidi,Oguda East,,0789811649,,24-05-2023
Waneno Anyim Youth Group - Pawidi,181,Adaa Cung Produce Dealers,Kitgum,Lagoro,Pawidi,Oguda East,,0771626484,,24-05-2023
Maa Loboni VSLA group pacudu,182,Adaa Cung Produce Dealers,Kitgum,Lagoro,Wigweng Ward,Oyika Tekikwa,,0777829046,,25-05-2023
Ber Bedo VSLA Group Apecha,183,Adaa Cung Produce Dealers,Kitgum,Lagoro,Wigweng,Apecha,,0788454136,,25-05-2023
Bomo Dyel VSLA group,184,Lamwo Shea Nut Farmers Association,Lamwo,Paloga,Paloga,Ogwangere,,0778975263,,25-05-2023
Nokmyero VSLA Group Apecha,185,Adaa Cung Produce Dealers,Kitgum,Lagoro,Wigweng,Apecha,,0761016149,,25-05-2023
Ribbe Aye Tekko - Alel East,186,Adaa Cung Produce Dealers,Kitgum,Lagoro,Pawidi,Alel East,,0775483186,,25-05-2023
OROMO MIXED FARMER GROUP,187,Agago District Farmers Association,Agago,Parabongo,Pabala,Onekwire,,0782591158,,25-05-2023
Tic Ber VLSA Jamula,188,Lamwo Shea Nut Farmers Association,Lamwo,Paloga,Bungu,Jamula,,0788256181,,25-05-2023
Tic Ber VLSA Jamula,189,Lamwo Shea Nut Farmers Association,Lamwo,Paloga,Bungu,Jamula,,0788256181,,25-05-2023
Buluzi Active Farmer Group - Kiwer,190,Adaa Cung Produce Dealers,Kitgum,Lagoro,Buluzi,kiwer,,0776989758,,25-05-2023
Katebo Nen Anyim Farmers Group,191,Lamwo Shea Nut Farmers Association,Lamwo,Paloga,Paloga,Katebo,,0783771808,,25-05-2023
ket can itic VSLA Group - Alel Central,192,Adaa Cung Produce Dealers,Kitgum,Lagoro,Pawidi,Alel Central,,0770657450,,26-05-2023
Ribbe Aye Teko Vsla Paloga,193,Lamwo Shea Nut Farmers Association,Lamwo,Paloga,Paloga,Tum Atoo,,0781632480,,26-05-2023
Opit Kic VSLA group Paloga,194,Lamwo Shea Nut Farmers Association,Lamwo,Paloga,Paloga,Ogwangere,,0778928997,,26-05-2023
Acoro Shea Butter VSLA Pader,195,Pader Shea butter cooperative,Pader,Pader Town Council,Acoro Ward,Agwari East,,0786114808,,26-05-2023
Toroma Bodaboda Association,196,Agago District Farmers Association,Agago,Kuywee,Kal-Agum,Toroma Central,,0789208750,,26-05-2023
Wamare Ikinwa Vsla,197,Pader Shea butter cooperative,Pader,Pader,Ongany,Laberdog,,07829225112,,27-05-2023
Watemo Gum Vsla Farmer Group,198,Pader Shea butter cooperative,Pader,Pader,Ongany,Laberdog,,0777443031,,27-05-2023
Watute Pikwo,199,Pader Shea butter cooperative,Pader,Pader,Ongany,Laberdog,,0761838583,,27-05-2023
Orib Cing famers group Bombo Central West,200,Agago District Farmers Association,Agago,Kuywee,Bombo,Bombo Central West,,0764227683,,27-05-2023
Makmot VSLA Group - Aloi,201,Agago District Farmers Association,Agago,Parabongo,Pacer,Aloi,,0779421795,,28-05-2023
Tute pi kwo youth group Olee,202,Agago District Farmers Association,Agago,Parabongo,Pacer,Olee,,0789754482,,28-05-2023
Kwok Cik VSLA group - Jinja,203,Agago District Farmers Association,Agago,Parabongo,Pacer,Jinja,,0785435829,,28-05-2023
Wakonye kenwa youth group - Jinja,204,Agago District Farmers Association,Agago,Parabongo,Pacer,Jinja,,0789766282,,28-05-2023
Ngayo-anga vsla and farmers group - Lapwomo,205,Agago District Farmers Association,Agago,Parabongo,Pacer,Lapwomo,,0786444399,,28-05-2023
Atwom Petum vsla group,206,Agago District Farmers Association,Agago,Parabongo,Pacer,Jinja,,0783210623,,28-05-2023
Bed Ki niyee VSLA Group Kalongo TC,207,Agago District Farmers Association,Agago,Kalongo Town Council,Akado Ward,Akado,,0782840001,,28-05-2023
Kacel wacung VLSA group Oguda,208,Adaa Cung Produce Dealers,Kitgum,Lagoro,Pawidi,Oguda,,0784555644,,29-05-2023
Nyech loyo VSLA Oguda West,209,Adaa Cung Produce Dealers,Kitgum,Lagoro,Pawidi,Oguda West,,0786669647,,29-05-2023
Jing Cwinyi VSLA - Anaka Central,210,Lamwo Shea Nut Farmers Association,Lamwo,Palabek-Gem,Anaka,Anaka Central,,0786251060,,29-05-2023
Tera Mot Mixed Farmer Group - Anaka South,211,Lamwo Shea Nut Farmers Association,Lamwo,Palabek-Gem,Anaka,Anaka South,,0774398942,,29-05-2023
Tii Ki Adaa - Larego A,212,Pader Shea butter cooperative,Pader,Ajan,Pakeyo,Larego A,,0786558235,,29-05-2023
Ribbe Aye Teko - Adinga A,213,Adaa Cung Produce Dealers,Kitgum,Lalano,Lakwor,Adinga A,,0774963800,,30-05-2023
Youth Action for Community Transformation - Jinja,214,Agago District Farmers Association,Agago,Parabongo,Pacer,Jinja,,0777955982,,30-05-2023
Tute Ti kwoni - lanyatono,215,Adaa Cung Produce Dealers,Kitgum,Lagoro,Labilo,Lanyatono,,0774507755,,30-05-2023
Wa gen Anga VSLA group - Tumpili east,216,Agago District Farmers Association,Agago,Parabongo,Pacer,Tumpili east,,0785101318,,30-05-2023
Pur Ber Farmers Group - Lakwor,217,Adaa Cung Produce Dealers,Kitgum,Lalano,Lakwor,Lakwor Central A,,0779664282,,30-05-2023
Jing Cwinyi Kekeni - Kulir North,218,Agago District Farmers Association,Agago,Parabongo,Pabala,Kulir North,,0783086037,,30-05-2023
Can Mini Diro - Palaro,219,Agago District Farmers Association,Agago,Parabongo,Pacer,Palaro,,0783555641,,30-05-2023
Watute Vision Group - Jinja,220,Agago District Farmers Association,Agago,Parabongo,Pacer,Jinja,,0762282319,,30-05-2023
Roc Paco VSLA group - Yotkom Ward,221,Agago District Farmers Association,Agago,Parabongo,Pacer,Yotkom Ward,,0779997802,,30-05-2023
Gen Rwot Support Group - Pawidi,222,Adaa Cung Produce Dealers,Kitgum,Lagoro,Pawidi,Oguda East,,0772049821,,30-05-2023
Maktunu Aye Pok VSLA group - Jinja,223,Agago District Farmers Association,Agago,Parabongo,Pacer,Jinja,,0789881541,,31-05-2023
Opar pi Wan VSLA group - Manwoko,224,Agago District Farmers Association,Agago,Parabongo,Pabala,Manwoko,,0787329855,,31-05-2023
Lacac pe Long - Yotkom,225,Agago District Farmers Association,Agago,Parabongo,Pacer,Yotkom,,077141279,,31-05-2023
